clean_body,agent,source,pr_type,closed_at,state,detected_lang,merged_at,id_pr,created_at,friction_score,sentiment_label,sentiment_model_used,is_negative,dominant_emotion,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_neutral,negative_emotion_score,friction_category,is_merged,timestamp,created_time,merged_time,time_to_merge_hours,is_human
"Thank you so much for the RFE — it’s amazing! 🙌 Just to clarify: OPM is the tool used to create catalogs, so we don’t need to open a PR there. That said, I totally understand the frustration around the number of tools and the lack of abstraction — you're not alone on that! For now, I think a good approach would be: - In SDK scaffold you have a target to install OPM already: https://github.com/operator-framework/operator-sdk/blob/master/testdata/go/v4/memcached-operator/Makefile#L302-L315 - You might want add a new target to automate your use case. You can create a target to generate your catalog, add your solution, and more. **Reference** Check out this guide: https://olm.operatorframework.io/docs/tasks/creating-a-catalog/ The pipeline uses OPM and render to produce a final FBC format. Feel free to reach out us in the Slack channel if you find issues with OPM to do your scenario and need a help.",Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.010223952122032642,positive,EN,False,anger,0.8139700889587402,0.012407028116285801,0.0019742101430892944,0.004714250098913908,0.013337049633264542,0.013309009373188019,0.1402883678674698,0.21042209421284497,N/A,0,,,,,False
"did a small refactor here. I don't like to use the DefaultClient so I created a separate one and moved it to ""client/httpclient.go""",Claude_Code,comment,feat,2025-05-21 12:00:58+00:00,closed,EN,2025-05-21T12:00:58Z,3078006902,,0.5478568077087402,negative,EN,True,neutral,0.010638181120157242,0.02404525876045227,0.0030471414793282747,0.005222235340625048,0.03399192914366722,0.01876278594136238,0.9042924046516418,0.017930627625901252,Code Style,1,,,2025-05-21 12:00:58+00:00,,False
rename [CODE] to [CODE] to match [CODE].,Claude_Code,comment,refactor,2025-07-14 03:57:14+00:00,closed,EN,2025-07-14T03:57:13Z,3222101465,,0.014765464700758457,neutral,EN,False,neutral,0.014678461477160454,0.008939828723669052,0.0029408384580165148,0.0033415004145354033,0.006861107889562845,0.03527563810348511,0.9279626607894897,0.008355059137102216,N/A,1,,,2025-07-14 03:57:13+00:00,,False
"Never mind, noticed it's non-blocking!",Claude_Code,comment,feat,2025-07-11 05:13:35+00:00,closed,EN,2025-07-11T05:13:35Z,3214555104,,0.1239900067448616,neutral,EN,False,surprise,0.2635396122932434,0.25693267583847046,0.006607984658330679,0.012135395780205727,0.010804054327309132,0.3018088936805725,0.14817138016223907,0.13447108177933842,N/A,1,,,2025-07-11 05:13:35+00:00,,False
"The definition using classes had many redundant parts, so I simplified it by making it a function. I used ""neverthrow"" to express ""procedure,"" [CODE], which transitions to the next step on success, and returns an error and terminates on failure.",Claude_Code,comment,refactor,2025-07-14 03:57:14+00:00,closed,EN,2025-07-14T03:57:13Z,3222101465,,0.3829556703567505,neutral,EN,False,neutral,0.017720557749271393,0.007321192882955074,0.0018716217018663883,0.0028277994133532047,0.004359790589660406,0.008479119278490543,0.9574199318885803,0.007818290730938315,N/A,1,,,2025-07-14 03:57:13+00:00,,False
"Good point, should be fixed now",Claude_Code,comment,feat,2025-06-10 17:17:30+00:00,closed,EN,2025-06-10T17:17:30Z,3132739442,,0.022818438708782196,positive,EN,False,neutral,0.052873894572257996,0.029077814891934395,0.001606595586054027,0.035512909293174744,0.023743566125631332,0.008352063596248627,0.8488332033157349,0.026825467793969437,N/A,1,,,2025-06-10 17:17:30+00:00,,False
"In this file, instrumentation namespace is [CODE] and elsewhere (not in this PR), its [CODE]. Somehow, both are wrong since the [convention](https://guides.rubyonrails.org/active_support_instrumentation.html#creating-custom-events) is [CODE].",Claude_Code,comment,feat,2025-07-22 16:21:13+00:00,closed,EN,,3158802702,,0.7316394448280334,negative,EN,True,neutral,0.024278398603200912,0.0307046826928854,0.004832923412322998,0.001789450878277421,0.021562650799751282,0.21912798285484314,0.6977039575576782,0.020344663877040148,Code Style,0,,,,,False
"I meant to do that after I saw what claude did to this poor method, but I forgot it. thanks for reminding me!",Claude_Code,comment,feat,2025-05-21 12:00:58+00:00,closed,EN,2025-05-21T12:00:58Z,3078006902,,0.5695593357086182,negative,EN,True,surprise,0.015957579016685486,0.008201858960092068,0.0018828578758984804,0.022839665412902832,0.12627173960208893,0.7188887000083923,0.10595761984586716,0.03807850886369124,Code Style,1,,,2025-05-21 12:00:58+00:00,,False
"Yes I have used opm before.. ""yet another binary"" is why I avoid adding it to our project repos.. It's frustrating that common utils repo don't exists for us still stuck consuming this repo is unable to add helpers here or elsewhere.",Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.8810051083564758,negative,EN,True,sadness,0.02254389598965645,0.02002970315515995,0.00678468169644475,0.0042353905737400055,0.6920124292373657,0.1534653902053833,0.10092850774526596,0.18534267751965672,Security,0,,,,,False
"## E2E Test Update: Cardinality Assertion Fix The E2E test for cardinality was updated to expect [CODE] (1:1 relationship) instead of [CODE] (1:n relationship) for the [CODE] table. ### Why this change was needed: The test was previously expecting a ONE_TO_MANY relationship, but this was incorrect. The [CODE] table has a UNIQUE constraint on the [CODE] column, which makes it a ONE_TO_ONE relationship with the [CODE] table. ### Root cause: The schemarb parser had a bug where it would correctly parse UNIQUE constraints into the constraints collection, but the [CODE] function only checked the column's [CODE] property, not the constraints collection. This caused relationships defined via unique indexes (common in Rails schemas) to be incorrectly identified as ONE_TO_MANY. Our new [CODE] function correctly checks both: - The column's [CODE] property - UNIQUE constraints in the constraints collection This ensures accurate cardinality detection regardless of how the uniqueness was defined in the schema. ### What changed: - Test now expects [CODE] instead of [CODE] - Also updated the edge selector from test-id to an accessible role selector for better test maintainability ### Note on parser fix: While this is technically a bug in the schemarb parser, we don't need to fix it because the [CODE] field will be removed entirely in Phase 2 of this deprecation. The [CODE] function provides the correct behavior going forward.",Claude_Code,comment,feat,2025-06-25 08:17:48+00:00,closed,EN,2025-06-25T08:17:47Z,3167450477,,0.19032534956932068,neutral,EN,False,neutral,0.014813698828220367,0.014470227994024754,0.004229871556162834,0.002916415687650442,0.026980360969901085,0.07047410309314728,0.8661152720451355,0.01512353983707726,N/A,1,,,2025-06-25 08:17:47+00:00,,False
You are correct. This change solves the problem of incorrect display of one to one relationships when using the schemarb parser. I'll add a changeset.,Claude_Code,comment,feat,2025-06-25 08:17:48+00:00,closed,EN,2025-06-25T08:17:47Z,3167450477,,0.04575062170624733,neutral,EN,False,neutral,0.010879148729145527,0.0069696637801826,0.001314359251409769,0.004488772712647915,0.004263489972800016,0.008122201077640057,0.9639623761177063,0.005856665433384478,N/A,1,,,2025-06-25 08:17:47+00:00,,False
"By [CODE], [CODE] is created by Daniyal.",Claude_Code,comment,fix,2025-07-11 17:03:17+00:00,closed,EN,2025-07-11T17:03:16Z,3220223180,,0.009397931396961212,neutral,EN,False,neutral,0.004518772941082716,0.003544941544532776,0.000841602566652,0.00542030343785882,0.0034818395506590605,0.033440962433815,0.94875168800354,0.003096789150731638,N/A,1,,,2025-07-11 17:03:16+00:00,,False
"We can ignore keyword only arguments. For example, the following change is not breaking: Changing: [CODE_BLOCK] to: [CODE_BLOCK]",Claude_Code,comment,feat,2025-07-11 05:13:35+00:00,closed,EN,2025-07-11T05:13:35Z,3214555104,,0.09184342622756958,neutral,EN,False,neutral,0.019499754533171654,0.01959267444908619,0.0032150510232895613,0.0029879892244935036,0.00763408187776804,0.02788476087152958,0.9191856980323792,0.012485390470828861,N/A,1,,,2025-07-11 05:13:35+00:00,,False
"@MH4GF I think the current RLS policy was set up because we needed to add the creator to the organization right after creating it. However, with this setup, any authenticated user can add themselves to any organization, which is a security concern. A possible solution would be to automatically add the creator as a member using a database trigger or function when the organization is created. This way, we don't need to loosen the insert RLS policy on the application side, and the issue can be resolved more securely.",Claude_Code,comment,test,2025-05-08 04:24:57+00:00,closed,EN,2025-05-08T04:24:57Z,3047699666,,0.14299196004867554,neutral,EN,False,fear,0.0774332657456398,0.0050076767802238464,0.5284361839294434,0.022789081558585167,0.020422764122486115,0.031187500804662704,0.31472358107566833,0.15782497264444828,N/A,1,,,2025-05-08 04:24:57+00:00,,False
"To fix #16412, [CODE] needs to be updated but I won't in this PR.",Claude_Code,comment,feat,2025-06-26 08:13:59+00:00,closed,EN,2025-06-26T08:13:59Z,3173971926,,0.7152990102767944,negative,EN,True,neutral,0.01063468586653471,0.012590763159096241,0.005879851058125496,0.003020180156454444,0.2512184679508209,0.034099139273166656,0.6825569272041321,0.07008094200864434,Code Style,1,,,2025-06-26 08:13:59+00:00,,False
This part is sus. Usually options isn't empty. [CODE_BLOCK] https://github.com/chiru-labs-org/deprecated-anime-claimer/blob/483017ed878742c9e3e0a7bc6eb6be36df0a54f3/contracts/AnimeClaimer.sol#L706,Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.5967115163803101,negative,EN,True,neutral,0.007446328643709421,0.004831547848880291,0.004303711000829935,0.004633627831935883,0.02681216038763523,0.09937728196382523,0.852595329284668,0.01084843697026372,Security,1,,,2025-07-10 05:41:21+00:00,,False
"Quoting is quite expensive, an this function does it twice. I'd make a function to return an array of native fees required.",Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.5160383582115173,negative,EN,True,neutral,0.026783568784594536,0.06213805824518204,0.004786144942045212,0.0024534708354622126,0.0574081614613533,0.03554829582571983,0.8108822703361511,0.03777898335829377,Logic,1,,,2025-07-10 05:41:21+00:00,,False
"Right now, this works cuz LZ treats zero-bytes and non-zero bytes as the same. But not guaranteed to always be the case forever. I'd make these values some non-compressible non-zero values.",Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.10603628307580948,neutral,EN,False,neutral,0.02339916117489338,0.0283854678273201,0.004581152461469173,0.003712286241352558,0.0064960652962327,0.0074345022439956665,0.9259912967681885,0.015715461689978838,N/A,1,,,2025-07-10 05:41:21+00:00,,False
This part is sus.,Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.8848189115524292,negative,EN,True,neutral,0.007871149107813835,0.037697888910770416,0.0031271385960280895,0.0021191497799009085,0.008030340075492859,0.030572516843676567,0.9105818867683411,0.0141816291725263,Security,1,,,2025-07-10 05:41:21+00:00,,False
The Natspec should say: [CODE_BLOCK],Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.05536583811044693,neutral,EN,False,neutral,0.006652978248894215,0.006760468240827322,0.001868990482762456,0.0020477687940001488,0.004361744504421949,0.02009502612054348,0.9582130312919617,0.0049110453692264855,N/A,1,,,2025-07-10 05:41:21+00:00,,False
"I'll make this able to withdraw any token, in case end users accidentally xfer ERC20s here.",Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.03072820045053959,neutral,EN,False,neutral,0.009409830905497074,0.0030372352339327335,0.003731293138116598,0.003979766741394997,0.007270087953656912,0.01553755346685648,0.9570342302322388,0.005862111807800829,N/A,1,,,2025-07-10 05:41:21+00:00,,False
Maybe we should revert instead? We revert with [CODE] above.,Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.01682129129767418,neutral,EN,False,neutral,0.025762133300304413,0.03766154125332832,0.003631685394793749,0.00151857640594244,0.008144528605043888,0.00887786690145731,0.9144037365913391,0.018799972138367593,N/A,1,,,2025-07-10 05:41:21+00:00,,False
https://docs.layerzero.network/v2/concepts/technical-reference/options-reference,Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.04163983464241028,neutral,EN,False,neutral,0.006266293115913868,0.0029312202241271734,0.008502824231982231,0.006056168116629124,0.008222444914281368,0.030576001852750778,0.9374450445175171,0.00648069562157616,N/A,1,,,2025-07-10 05:41:21+00:00,,False
"thank you! I'll check cli's [CODE] output. But, this PR is still LGTM.",Claude_Code,comment,feat,2025-06-25 08:17:48+00:00,closed,EN,2025-06-25T08:17:47Z,3167450477,,0.012641272507607937,neutral,EN,False,neutral,0.010306764394044876,0.0027210882399231195,0.0012814754154533148,0.31409531831741333,0.013692156411707401,0.1423901468515396,0.515513002872467,0.007000371115282178,N/A,1,,,2025-06-25 08:17:47+00:00,,False
"> my keyword was 'here', as in this repo. Another repo suggestions would be cool as well. If OPM is the most appropriate I can PR there.",Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.010333282873034477,positive,EN,False,neutral,0.00375856994651258,0.0026939967647194862,0.0009648839477449656,0.017476007342338562,0.0034740075934678316,0.0177664402872324,0.9538660645484924,0.002722864563111216,N/A,0,,,,,False
"Yeah fair enough, reverted in #209 after messing around with it for a bit. Going to just stick with the langgraph default setup.",Claude_Code,comment,feat,2025-04-11 05:02:46+00:00,closed,EN,2025-04-11T05:02:46Z,2986072834,,0.034930597990751266,neutral,EN,False,neutral,0.011241774074733257,0.01154251117259264,0.0012157667661085725,0.0075265830382704735,0.005048314109444618,0.006418630946427584,0.9570063948631287,0.007262091530719772,N/A,1,,,2025-04-11 05:02:46+00:00,,False
"we need to keep the old m_evn, m_odd in order to keep the vmecpp_large_cpp_tests working and I guess this is a reminder for the AI to fix that, once the corresponding change to use the new [CODE] and [CODE] is merged in the large tests.",Claude_Code,comment,refactor,2025-06-10 17:26:23+00:00,closed,EN,2025-06-10T17:26:23Z,3132983801,,0.05996562913060188,neutral,EN,False,neutral,0.004967900924384594,0.003745852503925562,0.0012675814796239138,0.0025693958159536123,0.006541801616549492,0.01699003390967846,0.9639174342155457,0.00413078413112089,N/A,1,,,2025-06-10 17:26:23+00:00,,False
I'll remove these then actually,Claude_Code,comment,feat,2025-05-21 12:00:58+00:00,closed,EN,2025-05-21T12:00:58Z,3078006902,,0.3713345527648926,neutral,EN,False,neutral,0.009928207844495773,0.005773106589913368,0.002124043181538582,0.0037880060262978077,0.005566134117543697,0.027540065348148346,0.9452804923057556,0.005847872933372855,N/A,1,,,2025-05-21 12:00:58+00:00,,False
There is now CODATA-2022 which we use at Proxima [CODE_BLOCK],Claude_Code,comment,feat,2025-06-10 17:17:30+00:00,closed,EN,2025-06-10T17:17:30Z,3132739442,,0.0071760485880076885,neutral,EN,False,neutral,0.005241401493549347,0.0033295131288468838,0.0014771503629162908,0.00346076930873096,0.005165818613022566,0.05088714137673378,0.9304382801055908,0.003803470899583772,N/A,1,,,2025-06-10 17:17:30+00:00,,False
"The file names remain the same as they were originally, but this is intentional, probably because I think that if I change even the file names, git will judge them as removes and adds, and it will be hard to tell the difference. This will be fixed later.",Claude_Code,comment,refactor,2025-07-14 03:57:14+00:00,closed,EN,2025-07-14T03:57:13Z,3222101465,,0.3561839759349823,neutral,EN,False,neutral,0.011097609996795654,0.01254431251436472,0.001991560682654381,0.002603105502203107,0.008411996066570282,0.029067957773804665,0.9342834949493408,0.008511369815096259,N/A,1,,,2025-07-14 03:57:13+00:00,,False
"There may be a typo, but the full name appears to be [Vladimir Khorikov](https://www.amazon.co.jp/Vladimir-Khorikov/e/B083JNDDNM/ref=dp_byline_cont_book_1). It might be better to use the full name.",Claude_Code,comment,docs,2025-07-03 08:23:38+00:00,closed,EN,2025-07-03T08:23:38Z,3194483657,,0.4415009617805481,neutral,EN,False,neutral,0.0038760181050747633,0.0033727672416716814,0.001450377982109785,0.0049872747622430325,0.011423266492784023,0.0464177206158638,0.928472638130188,0.005030607455410063,N/A,1,,,2025-07-03 08:23:38+00:00,,False
"I'd like to try various approaches, but since the person's name is used to compress the knowledge context, it might be worth checking later whether a description like ""follow the test strategy for 'person names'"" would result in similar behavior.",Claude_Code,comment,docs,2025-07-03 08:23:38+00:00,closed,EN,2025-07-03T08:23:38Z,3194483657,,0.181050106883049,neutral,EN,False,neutral,0.009533556178212166,0.015265805646777153,0.003781839506700635,0.006032787263393402,0.004994370974600315,0.009925486519932747,0.9504661560058594,0.008393893076572567,N/A,1,,,2025-07-03 08:23:38+00:00,,False
Thank you! I'll use your full name. [CODE_BLOCK],Claude_Code,comment,docs,2025-07-03 08:23:38+00:00,closed,EN,2025-07-03T08:23:38Z,3194483657,,0.005000712815672159,positive,EN,False,joy,0.022977681830525398,0.007700650952756405,0.002895778976380825,0.47861558198928833,0.004591240081936121,0.03820403665304184,0.4450150430202484,0.009541337960399687,N/A,1,,,2025-07-03 08:23:38+00:00,,False
"Of course, makes perfect sense 👍🏻",Claude_Code,comment,feat,2025-05-21 12:00:58+00:00,closed,EN,2025-05-21T12:00:58Z,3078006902,,0.005103649105876684,positive,EN,False,neutral,0.08472325652837753,0.08419613540172577,0.03912308067083359,0.04215344414114952,0.018138829618692398,0.0058059655129909515,0.7258592247962952,0.05654532555490732,N/A,1,,,2025-05-21 12:00:58+00:00,,False
Does it work for [CODE] folder?,Claude_Code,comment,feat,2025-06-09 05:21:22+00:00,closed,EN,2025-06-09T05:21:22Z,3128713996,,0.013573733158409595,neutral,EN,False,neutral,0.008082270622253418,0.008212953805923462,0.002291635610163212,0.0021508263889700174,0.009809386916458607,0.16920346021652222,0.8002493977546692,0.007099061738699675,N/A,1,,,2025-06-09 05:21:22+00:00,,False
"@legion2002 ah, i just realized it's a private repo. Anyway, the #216 includes the code for that, we can refer to that PR if we need.",Claude_Code,comment,feat,2025-07-10 05:41:22+00:00,closed,EN,2025-07-10T05:41:21Z,3160647911,,0.01643737591803074,neutral,EN,False,surprise,0.005439073778688908,0.0016432130942121148,0.002273538149893284,0.020063277333974838,0.008634044788777828,0.5128747820854187,0.449072003364563,0.004497467452893034,N/A,1,,,2025-07-10 05:41:21+00:00,,False
> I'll create a separate PR just for this part and update the tests as well. yes!,Claude_Code,comment,test,2025-05-08 04:24:57+00:00,closed,EN,2025-05-08T04:24:57Z,3047699666,,0.005353101529181004,positive,EN,False,neutral,0.06485334783792496,0.012653477489948273,0.009645349346101284,0.0338975191116333,0.030363040044903755,0.09356138855218887,0.7550259828567505,0.029378803679719567,N/A,1,,,2025-05-08 04:24:57+00:00,,False
"> By this logic, [CODE] doesn't need to exists at all. And that's the direction that I lean on this that [CODE] never needed to be created, since it's maintenance overhead for a project with zero maintainers.",Claude_Code,comment,feat,2025-05-29 21:24:04+00:00,closed,EN,,3098322647,,0.27508747577667236,neutral,EN,False,neutral,0.014902573078870773,0.025921287015080452,0.002185080200433731,0.002370702801272273,0.005076214205473661,0.011625808663666248,0.9379183053970337,0.012021288624964654,N/A,0,,,,,False
"If this looks good, I'll create a separate PR just for this part and update the tests as well. 👍 I'll also wait for @hoshinotsuyoshi 's confirmation.",Claude_Code,comment,test,2025-05-08 04:24:57+00:00,closed,EN,2025-05-08T04:24:57Z,3047699666,,0.002429705113172531,positive,EN,False,neutral,0.005413845181465149,0.0007304304745048285,0.007509702350944281,0.02900449000298977,0.00865257903933525,0.028934959322214127,0.9197539687156677,0.005576639261562377,N/A,1,,,2025-05-08 04:24:57+00:00,,False
